libbinutils	libc6 (>= 2.38), libsframe3, libzstd1 (>= 1.5.5), zlib1g (>= 1:1.2.11.dfsg), binutils-common (= 2.47-2)	
libblkid1	libc6 (>= 2.38)	
libbluray4	libc6 (>= 2.34), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.2.1), libudfread3 (>= 1.2.0), libxml2-16 (>= 2.14.1)	libaacs0
libbpf1	libc6 (>= 2.38), libelf1t64 (>= 0.144), zlib1g (>= 1:1.2.3.4)	
libbrotli1	libc6 (>= 2.29)	
libbs2b0	libc6 (>= 2.29), libstdc++6 (>= 4.1.1)	
libbsd0	libc6 (>= 2.38), libmd0 (>= 1.0.3-2)	
libbz2-1.0	libc6 (>= 2.4)	
libc-bin	libc6 (>> 2.43), libc6 (<< 2.44)	manpages
libc-dev-bin	libc6 (>> 2.43), libc6 (<< 2.44)	manpages, manpages-dev
libc-gconv-modules-extra		
libc6	libgcc-s1, libc-gconv-modules-extra (= 2.43-4)	libidn2-0 (>= 2.0.5~)
libc6-dev	libc6 (= 2.43-4), libc-dev-bin (= 2.43-4), linux-libc-dev	
libc6-i386	libc6 (= 2.43-4)	
libcairo-gobject2	libcairo2 (= 1.18.4-3+b1), libglib2.0-0t64 (>= 2.68.0)	
libcairo2	libc6 (>= 2.38), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.11.1), libpixman-1-0 (>= 0.40.0), libpng16-16t64 (>= 1.6.46), libx11-6, libxcb-render0, libxcb-shm0, libxcb1 (>= 1.6), libxext6, libxrender1 (>= 1:0.9.12), zlib1g (>= 1:1.1.4)	
libcap-ng0	libc6 (>= 2.38)	
libcap2	libc6 (>= 2.38)	
libcares2	libc6 (>= 2.38)	
libcbor0.10	libc6 (>= 2.14)	
libcdio-cdda2t64	libc6 (>= 2.33), libcdio19t64 (>= 2.1.0)	
libcdio-paranoia2t64	libc6 (>= 2.14), libcdio-cdda2t64 (>= 10.2+2.0.0), libcdio19t64 (>= 2.1.0)	
libcdio19t64	libc6 (>= 2.38)	
libchromaprint1	libc6 (>= 2.29), libgcc-s1 (>= 3.4), libstdc++6 (>= 13.1)	
libcjson1	libc6 (>= 2.14)	
libclang-common-21-dev		libclang-rt-21-dev
libclang-cpp21	libc6 (>= 2.38), libgcc-s1 (>= 3.0), libllvm21 (= 1:21.1.8-10), libstdc++6 (>= 12)	
libclang-rt-21-dev	lib32stdc++6 (>= 4.1.1), libc6 (>= 2.38), libc6-i386 (>= 2.38), libstdc++6 (>= 4.1.1)	
libclang1-21	libc6 (>= 2.38), libgcc-s1 (>= 3.0), libllvm21 (>= 1:21.1.0), libstdc++6 (>= 11)	
libclone-perl	perl (>= 5.42.2-3), perlapi-5.42.2, libc6 (>= 2.14)	
libcloudproviders0	libc6 (>= 2.4), libglib2.0-0t64 (>= 2.56.0)	
